"n°UAI de l'établissement";"Libellé de l'établissement";"Région";"Dont apprentis en EPLE";;"Taux";"Taux attendu";"Valeur ajoutée";
"0070002P";"Lycée professionnel Joseph et Etienne De Montgolfier";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0070003R";"Lycée polyvalent Marcel Gimond";"AUVERGNE-RHONE-ALPES";"ensemble";44;38;42;-5;51
"0070004S";"Lycée polyvalent Astier";"AUVERGNE-RHONE-ALPES";"ensemble";44;33;33;0;49
"0070004S";"Lycée polyvalent Astier";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";45;29;31;-1;46
"0070004S";"Lycée polyvalent Astier";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0070009X";"Lycée professionnel Léon Pavin";"AUVERGNE-RHONE-ALPES";"ensemble";45;48;36;12;55
"0070009X";"Lycée professionnel Léon Pavin";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";46;47;35;12;54
"0070009X";"Lycée professionnel Léon Pavin";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0070016E";"Lycée professionnel hôtelier - Lycée des  métiers de l'hôtellerie et de la restauration innovante";"AUVERGNE-RHONE-ALPES";"ensemble";52;34;35;-1;52
"0070016E";"Lycée professionnel hôtelier - Lycée des  métiers de l'hôtellerie et de la restauration innovante";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";62;32;27;6;48
"0070016E";"Lycée professionnel hôtelier - Lycée des  métiers de l'hôtellerie et de la restauration innovante";"AUVERGNE-RHONE-ALPES";"dont apprentis";14;;;;
"0070021K";"Lycée polyvalent Vincent d'Indy";"AUVERGNE-RHONE-ALPES";"ensemble";47;36;41;-5;55
"0070029U";"Lycée polyvalent Gabriel Faure - Lycée des métiers du commerce et des services";"AUVERGNE-RHONE-ALPES";"ensemble";51;53;45;8;50
"0070031W";"Lycée professionnel Marius Bouvier - Lycée des métiers de la prévention et de la protection";"AUVERGNE-RHONE-ALPES";"ensemble";50;52;45;8;48
"0070031W";"Lycée professionnel Marius Bouvier - Lycée des métiers de la prévention et de la protection";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";53;46;39;7;46
"0070031W";"Lycée professionnel Marius Bouvier - Lycée des métiers de la prévention et de la protection";"AUVERGNE-RHONE-ALPES";"dont apprentis";14;;;;
"0070064G";"Lycée général et technologique privé Jules Froment";"AUVERGNE-RHONE-ALPES";"ensemble";41;;;;
"0070071P";"Lycée polyvalent privé Sacré Coeur";"AUVERGNE-RHONE-ALPES";"ensemble";47;58;48;11;73
"0070100W";"Lycée professionnel privé Marc Séguin";"AUVERGNE-RHONE-ALPES";"ensemble";59;43;42;1;57
"0070107D";"Lycée professionnel privé Marie Rivier";"AUVERGNE-RHONE-ALPES";"ensemble";57;33;33;0;49
"0070112J";"Lycée professionnel privé Saint André";"AUVERGNE-RHONE-ALPES";"ensemble";52;37;32;5;49
"0070114L";"Lycée professionnel privé Notre Dame - Lycée des métiers du travail social et de la santé";"AUVERGNE-RHONE-ALPES";"ensemble";40;35;29;6;48
"0070115M";"Lycée professionnel privé Jules Froment - Lycée des métiers de la relation dans le commerce, les services, la santé et le social";"AUVERGNE-RHONE-ALPES";"ensemble";60;33;27;5;56
"0071126L";"Lycée général et technologique privé Saint Denis";"AUVERGNE-RHONE-ALPES";"ensemble";46;59;56;3;63
"0071351F";"Lycée polyvalent Xavier Mallet";"AUVERGNE-RHONE-ALPES";"ensemble";47;41;34;6;49
"0071351F";"Lycée polyvalent Xavier Mallet";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";47;40;34;6;49
"0071351F";"Lycée polyvalent Xavier Mallet";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0071397F";"Lycée polyvalent";"AUVERGNE-RHONE-ALPES";"ensemble";82;;;;
"0080007P";"Lycée général et technologique Sévigné";"GRAND EST";"ensemble";24;39;41;-2;48
"0080007P";"Lycée général et technologique Sévigné";"GRAND EST";"dont élèves en voie pro sco";26;42;41;1;50
"0080007P";"Lycée général et technologique Sévigné";"GRAND EST";"dont apprentis";;;;;
"0080008R";"Lycée polyvalent François Bazin - Lycée des métiers des technologies industrielles et de l'énergie";"GRAND EST";"ensemble";49;47;55;-8;60
"0080008R";"Lycée polyvalent François Bazin - Lycée des métiers des technologies industrielles et de l'énergie";"GRAND EST";"dont élèves en voie pro sco";54;37;47;-10;52
"0080008R";"Lycée polyvalent François Bazin - Lycée des métiers des technologies industrielles et de l'énergie";"GRAND EST";"dont apprentis";31;71;73;-2;79
"0080010T";"Lycée professionnel Simone Veil - Lycée des métiers des services à la personne, aux organisations administratives et commerciales";"GRAND EST";"ensemble";48;24;28;-5;28
"0080010T";"Lycée professionnel Simone Veil - Lycée des métiers des services à la personne, aux organisations administratives et commerciales";"GRAND EST";"dont élèves en voie pro sco";49;23;28;-5;28
"0080010T";"Lycée professionnel Simone Veil - Lycée des métiers des services à la personne, aux organisations administratives et commerciales";"GRAND EST";"dont apprentis";;;;;
"0080018B";"Lycée général Vauban";"GRAND EST";"ensemble";;;;;
"0080018B";"Lycée général Vauban";"GRAND EST";"dont élèves en voie pro sco";;;;;
"0080018B";"Lycée général Vauban";"GRAND EST";"dont apprentis";;;;;
"0080027L";"Lycée général et technologique Monge";"GRAND EST";"ensemble";37;34;45;-11;41
"0080027L";"Lycée général et technologique Monge";"GRAND EST";"dont élèves en voie pro sco";38;35;45;-10;43
"0080027L";"Lycée général et technologique Monge";"GRAND EST";"dont apprentis";;;;;
"0080028M";"Lycée professionnel Charles de Gonzague - Lycée des métiers de l'habitat";"GRAND EST";"ensemble";49;22;25;-3;31
"0080028M";"Lycée professionnel Charles de Gonzague - Lycée des métiers de l'habitat";"GRAND EST";"dont élèves en voie pro sco";51;21;21;0;27
"0080028M";"Lycée professionnel Charles de Gonzague - Lycée des métiers de l'habitat";"GRAND EST";"dont apprentis";;;;;
"0080039Z";"Lycée polyvalent Paul Verlaine";"GRAND EST";"ensemble";52;22;23;-1;32
"0080039Z";"Lycée polyvalent Paul Verlaine";"GRAND EST";"dont élèves en voie pro sco";52;21;22;-1;32
"0080039Z";"Lycée polyvalent Paul Verlaine";"GRAND EST";"dont apprentis";;;;;
"0080040A";"Lycée polyvalent Jean Moulin";"GRAND EST";"ensemble";47;18;22;-5;23
"0080045F";"Lycée général et technologique Pierre Bayle";"GRAND EST";"ensemble";22;31;43;-12;41
"0080047H";"Lycée professionnel Jean-Baptiste Clément - Lycée des métiers de l'automobile et de l'industrie";"GRAND EST";"ensemble";54;36;39;-3;43
"0080047H";"Lycée professionnel Jean-Baptiste Clément - Lycée des métiers de l'automobile et de l'industrie";"GRAND EST";"dont élèves en voie pro sco";56;27;30;-3;34
"0080047H";"Lycée professionnel Jean-Baptiste Clément - Lycée des métiers de l'automobile et de l'industrie";"GRAND EST";"dont apprentis";44;59;62;-4;64
"0080048J";"Lycée professionnel Le Château";"GRAND EST";"ensemble";51;19;24;-5;28
"0080082W";"Lycée polyvalent privé Saint Paul";"GRAND EST";"ensemble";69;15;22;-7;33
"0080093H";"Lycée professionnel privé Jeanne d'Arc";"GRAND EST";"ensemble";47;15;26;-12;22
"0081047V";"Lycée polyvalent Bazeilles - Lycée des métiers de l'hôtellerie-restauration et du tourisme";"GRAND EST";"ensemble";43;40;44;-3;58
"0090002D";"Lycée général et technologique Gabriel Fauré";"OCCITANIE";"ensemble";34;55;51;4;53
"0090003E";"Lycée professionnel Jean Durroux";"OCCITANIE";"ensemble";53;25;26;-1;41
"0090006H";"Lycée professionnel Joseph Marie Jacquard - Lycée des métiers des stations pyrénéennes";"OCCITANIE";"ensemble";55;33;34;-1;33
"0090013R";"Lycée polyvalent Mirepoix";"OCCITANIE";"ensemble";48;55;52;3;48
"0090013R";"Lycée polyvalent Mirepoix";"OCCITANIE";"dont élèves en voie pro sco";51;53;50;3;47
"0090013R";"Lycée polyvalent Mirepoix";"OCCITANIE";"dont apprentis";;;;;
"0090015T";"Lycée polyvalent Pyrène";"OCCITANIE";"ensemble";48;37;42;-4;37
"0090015T";"Lycée polyvalent Pyrène";"OCCITANIE";"dont élèves en voie pro sco";48;38;42;-3;38
"0090015T";"Lycée polyvalent Pyrène";"OCCITANIE";"dont apprentis";;;;;
"0090018W";"Lycée général du Couserans";"OCCITANIE";"ensemble";45;;;;
"0090019X";"Lycée professionnel Aristide Bergès - Lycée des métiers bâtiment, habitat dans le développement durable";"OCCITANIE";"ensemble";54;28;34;-6;38
"0090019X";"Lycée professionnel Aristide Bergès - Lycée des métiers bâtiment, habitat dans le développement durable";"OCCITANIE";"dont élèves en voie pro sco";55;29;28;1;35
"0090019X";"Lycée professionnel Aristide Bergès - Lycée des métiers bâtiment, habitat dans le développement durable";"OCCITANIE";"dont apprentis";;;;;
"0090020Y";"Lycée professionnel François Camel - Lycée des métiers restauration et services à la personne";"OCCITANIE";"ensemble";45;23;34;-11;39
"0090020Y";"Lycée professionnel François Camel - Lycée des métiers restauration et services à la personne";"OCCITANIE";"dont élèves en voie pro sco";47;23;33;-9;39
"0090020Y";"Lycée professionnel François Camel - Lycée des métiers restauration et services à la personne";"OCCITANIE";"dont apprentis";;;;;
"0090024C";"Lycée professionnel Dr Philippe Tissié - Lycée des métiers maintenance des engins mécaniques";"OCCITANIE";"ensemble";68;43;46;-3;54
"0090024C";"Lycée professionnel Dr Philippe Tissié - Lycée des métiers maintenance des engins mécaniques";"OCCITANIE";"dont élèves en voie pro sco";69;43;45;-2;51
"0090024C";"Lycée professionnel Dr Philippe Tissié - Lycée des métiers maintenance des engins mécaniques";"OCCITANIE";"dont apprentis";;;;;
"0090045A";"Lycée professionnel privé Les Jacobins";"OCCITANIE";"ensemble";57;39;32;7;56
"0090481Z";"Etablissement régional d'enseignement adapté Guy Villeroux";"OCCITANIE";"ensemble";36;30;28;2;43
"0090481Z";"Etablissement régional d'enseignement adapté Guy Villeroux";"OCCITANIE";"dont élèves en voie pro sco";39;26;25;1;37
"0090481Z";"Etablissement régional d'enseignement adapté Guy Villeroux";"OCCITANIE";"dont apprentis";;;;;
"0100003Z";"Lycée polyvalent Gaston Bachelard";"GRAND EST";"ensemble";58;18;28;-11;44
"0100003Z";"Lycée polyvalent Gaston Bachelard";"GRAND EST";"dont élèves en voie pro sco";58;18;27;-9;42
"0100003Z";"Lycée polyvalent Gaston Bachelard";"GRAND EST";"dont apprentis";;;;;
"0100004A";"Lycée professionnel Val Moré - Lycée des métiers de la maintenance des matériels agricoles et de travaux publics";"GRAND EST";"ensemble";31;58;53;5;70
"0100004A";"Lycée professionnel Val Moré - Lycée des métiers de la maintenance des matériels agricoles et de travaux publics";"GRAND EST";"dont élèves en voie pro sco";33;50;46;4;64
"0100004A";"Lycée professionnel Val Moré - Lycée des métiers de la maintenance des matériels agricoles et de travaux publics";"GRAND EST";"dont apprentis";23;87;79;8;90
"0100015M";"Lycée général et technologique F. et I. Joliot Curie";"GRAND EST";"ensemble";14;41;49;-9;44
"0100016N";"Lycée professionnel Denis Diderot";"GRAND EST";"ensemble";51;21;31;-10;29
"0100016N";"Lycée professionnel Denis Diderot";"GRAND EST";"dont élèves en voie pro sco";53;16;26;-11;27
"0100016N";"Lycée professionnel Denis Diderot";"GRAND EST";"dont apprentis";;;;;
"0100022V";"Lycée général et technologique Chrestien de Troyes";"GRAND EST";"ensemble";38;64;58;6;58
"0100022V";"Lycée général et technologique Chrestien de Troyes";"GRAND EST";"dont élèves en voie pro sco";41;64;57;6;58
"0100022V";"Lycée général et technologique Chrestien de Troyes";"GRAND EST";"dont apprentis";;;;;
"0100023W";"Lycée polyvalent Marie de Champagne";"GRAND EST";"ensemble";52;39;36;3;42
"0100023W";"Lycée polyvalent Marie de Champagne";"GRAND EST";"dont élèves en voie pro sco";52;39;36;3;42
"0100023W";"Lycée polyvalent Marie de Champagne";"GRAND EST";"dont apprentis";;;;;
"0100025Y";"Lycée polyvalent Les Lombards";"GRAND EST";"ensemble";50;28;36;-9;48
"0100025Y";"Lycée polyvalent Les Lombards";"GRAND EST";"dont élèves en voie pro sco";50;28;36;-8;48
"0100025Y";"Lycée polyvalent Les Lombards";"GRAND EST";"dont apprentis";;;;;
"0100059K";"Lycée technologique privé La Salle";"GRAND EST";"ensemble";38;54;47;7;54
"0100063P";"Lycée professionnel privé Léonie Aviat";"GRAND EST";"ensemble";44;39;29;10;32
"0100078F";"Lycée professionnel privé Jeanne Mance";"GRAND EST";"ensemble";35;26;29;-3;41
"0100945Y";"Lycée professionnel Gabriel Voisin Lycée des Métiers de l'automobile et de la relation client";"GRAND EST";"ensemble";46;33;31;2;40
"0100945Y";"Lycée professionnel Gabriel Voisin Lycée des Métiers de l'automobile et de la relation client";"GRAND EST";"dont élèves en voie pro sco";46;32;31;2;40
"0100945Y";"Lycée professionnel Gabriel Voisin Lycée des Métiers de l'automobile et de la relation client";"GRAND EST";"dont apprentis";;;;;
"0101015Z";"Lycée professionnel privé La Salle - Lycée des métiers du bâtiment performant, du design et de la communication digitale";"GRAND EST";"ensemble";57;44;43;1;54
"0101016A";"Lycée général et technologique Edouard Herriot";"GRAND EST";"ensemble";39;56;51;5;63
"0101022G";"Lycée professionnel Edouard Herriot - Lycée des métiers de la mode, de l'hôtellerie et de la restauration";"GRAND EST";"ensemble";48;42;32;10;45
"0110004V";"Lycée général et technologique Paul Sabatier";"OCCITANIE";"ensemble";29;39;44;-5;42
"0110007Y";"Lycée polyvalent Jules Fil, lycée des métiers de la santé, du social et des sciences de l'industrie numérique";"OCCITANIE";"ensemble";44;27;35;-8;37
"0110007Y";"Lycée polyvalent Jules Fil, lycée des métiers de la santé, du social et des sciences de l'industrie numérique";"OCCITANIE";"dont élèves en voie pro sco";45;27;34;-7;37
"0110007Y";"Lycée polyvalent Jules Fil, lycée des métiers de la santé, du social et des sciences de l'industrie numérique";"OCCITANIE";"dont apprentis";;;;;
"0110012D";"Lycée polyvalent Germaine Tillion";"OCCITANIE";"ensemble";53;46;43;4;57
"0110012D";"Lycée polyvalent Germaine Tillion";"OCCITANIE";"dont élèves en voie pro sco";54;43;41;3;55
"0110012D";"Lycée polyvalent Germaine Tillion";"OCCITANIE";"dont apprentis";41;;;;
"0110019L";"Lycée polyvalent Jacques Ruffié";"OCCITANIE";"ensemble";48;20;32;-12;36
"0110022P";"Lycée général et technologique Docteur Lacroix";"OCCITANIE";"ensemble";42;29;41;-12;39
"0110023R";"Lycée polyvalent Louise Michel";"OCCITANIE";"ensemble";50;35;34;1;51
"0110023R";"Lycée polyvalent Louise Michel";"OCCITANIE";"dont élèves en voie pro sco";50;35;34;1;51
"0110023R";"Lycée polyvalent Louise Michel";"OCCITANIE";"dont apprentis";;;;;
"0110027V";"Lycée professionnel Édouard Herriot";"OCCITANIE";"ensemble";45;12;22;-10;20
"0110045P";"Lycée polyvalent privé Saint Louis";"OCCITANIE";"ensemble";50;35;39;-4;45
"0110670U";"Lycée polyvalent privé Beauséjour, lycée des métiers de la santé et du social";"OCCITANIE";"ensemble";50;30;28;1;45
"0110823K";"Lycée professionnel Charles Cros, lycée des métiers de la commercialisation et de la restauration";"OCCITANIE";"ensemble";48;21;26;-5;34
"0111048E";"Lycée polyvalent Ernest Ferroul";"OCCITANIE";"ensemble";48;25;30;-5;44
"0120006S";"Lycée polyvalent La Découverte";"OCCITANIE";"ensemble";48;60;51;8;61
"0120006S";"Lycée polyvalent La Découverte";"OCCITANIE";"dont élèves en voie pro sco";52;50;45;4;54
"0120006S";"Lycée polyvalent La Découverte";"OCCITANIE";"dont apprentis";29;100;88;12;89
"0120012Y";"Lycée général et technologique Jean Vigo";"OCCITANIE";"ensemble";39;48;56;-8;60
"0120014A";"Lycée professionnel Jean Vigo";"OCCITANIE";"ensemble";47;34;39;-5;51
"0120024L";"Lycée général et technologique Alexis Monteil";"OCCITANIE";"ensemble";44;63;53;10;64
"0120025M";"Lycée polyvalent Jean Jaurès - Lycée des métiers de l'énergie";"OCCITANIE";"ensemble";55;55;49;6;59
"0120025M";"Lycée polyvalent Jean Jaurès - Lycée des métiers de l'énergie";"OCCITANIE";"dont élèves en voie pro sco";61;47;41;6;50
"0120025M";"Lycée polyvalent Jean Jaurès - Lycée des métiers de l'énergie";"OCCITANIE";"dont apprentis";;;;;
"0120031U";"Lycée général et technologique Raymond Savignac";"OCCITANIE";"ensemble";22;36;48;-12;43
"0120037A";"Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication";"OCCITANIE";"ensemble";58;45;41;4;57
"0120037A";"Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication";"OCCITANIE";"dont élèves en voie pro sco";58;44;40;4;56
"0120037A";"Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication";"OCCITANIE";"dont apprentis";;;;;
"0120038B";"Lycée professionnel Ferdinand Foch";"OCCITANIE";"ensemble";61;32;32;-1;39
"0120096P";"Lycée professionnel du bâtiment - Lycée des métiers du bois et de l'habitat";"OCCITANIE";"ensemble";56;52;45;6;55
"0120105Z";"Lycée professionnel privé Jeanne d'Arc";"OCCITANIE";"ensemble";45;24;33;-9;41
"0121157T";"Lycée professionnel Raymond Savignac";"OCCITANIE";"ensemble";51;37;38;-1;48
"0121178R";"Etablissement régional d'enseignement adapté Villefranche-de-Rouergue";"OCCITANIE";"ensemble";40;29;36;-7;23
"0121178R";"Etablissement régional d'enseignement adapté Villefranche-de-Rouergue";"OCCITANIE";"dont élèves en voie pro sco";38;23;30;-7;12
"0121178R";"Etablissement régional d'enseignement adapté Villefranche-de-Rouergue";"OCCITANIE";"dont apprentis";;;;;
"0121260E";"Lycée professionnel privé Saint-Joseph";"OCCITANIE";"ensemble";49;61;53;8;83
"0121309H";"Lycée professionnel privé Saint-Joseph";"OCCITANIE";"ensemble";66;32;36;-4;36
"0121423G";"Lycée technologique privé Charles Carnus";"OCCITANIE";"ensemble";49;62;57;5;70
"0121429N";"Lycée professionnel privé Louis Querbes - Lycée des métiers des secteurs tertiaires - Lycée des métiers paramédicaux et sociaux";"OCCITANIE";"ensemble";51;25;37;-12;53
"0130001F";"LYCEE DES METIERS EMILE ZOLA";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";47;51;46;5;56
"0130001F";"LYCEE DES METIERS EMILE ZOLA";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";48;52;47;5;56
"0130001F";"LYCEE DES METIERS EMILE ZOLA";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";43;;;;
"0130003H";"Lycée polyvalent Vauvenargues";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;46;40;6;50
"0130003H";"Lycée polyvalent Vauvenargues";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";50;45;40;5;49
"0130003H";"Lycée polyvalent Vauvenargues";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0130006L";"Lycée professionnel Gambetta - Lycée des métiers du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";47;41;38;2;45
"0130006L";"Lycée professionnel Gambetta - Lycée des métiers du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";47;39;38;1;43
"0130006L";"Lycée professionnel Gambetta - Lycée des métiers du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";45;52;42;11;57
"0130010R";"Lycée polyvalent Montmajour";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";55;22;28;-6;42
"0130011S";"Lycée technologique Louis Pasquet - lycée des métiers des énergies et de l'industrie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;64;52;12;70
"0130011S";"Lycée technologique Louis Pasquet - lycée des métiers des énergies et de l'industrie";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";37;61;49;12;67
"0130011S";"Lycée technologique Louis Pasquet - lycée des métiers des énergies et de l'industrie";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
